epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,epoch_time_sec
1,0.511474,0.497040,0.027997,0.012653,0.016660,0.008346,2.67
2,0.493879,0.494467,0.145918,0.134509,0.088788,0.087034,2.30
3,0.483770,0.510142,0.187292,0.199334,0.112824,0.128482,2.41
4,0.452333,0.449741,0.258601,0.241921,0.160010,0.154451,2.29
5,0.447937,0.473599,0.171271,0.073076,0.107443,0.045064,2.29
6,0.413461,0.366174,0.246193,0.324238,0.153240,0.223931,2.28
7,0.363565,0.348053,0.335543,0.373877,0.220258,0.259989,2.32
8,0.352334,0.382318,0.344098,0.272174,0.230890,0.187740,2.29
9,0.330747,0.437736,0.388255,0.181444,0.259720,0.122280,2.31
10,0.329710,0.338564,0.386658,0.403750,0.262207,0.280638,2.28
11,0.325778,0.319184,0.394396,0.416260,0.268079,0.298981,2.28
12,0.297617,0.320279,0.445710,0.436862,0.307569,0.308581,2.31
13,0.278063,0.289050,0.483532,0.486264,0.342221,0.351531,2.32
14,0.283744,0.294976,0.471450,0.458625,0.336720,0.332469,2.30
15,0.264492,0.423437,0.507381,0.186599,0.366657,0.125869,2.31
16,0.268567,0.411131,0.499987,0.207474,0.358746,0.137555,2.31
17,0.248865,0.442302,0.540366,0.152115,0.390899,0.099043,2.29
18,0.268446,0.300842,0.496136,0.444119,0.355794,0.316492,2.32
19,0.249559,0.284225,0.534442,0.512990,0.388204,0.369087,2.31
20,0.242427,0.418395,0.549615,0.299271,0.400780,0.194585,2.31
21,0.237364,0.348538,0.556426,0.353072,0.407107,0.250827,2.32
22,0.247840,0.305602,0.536784,0.451964,0.388818,0.324568,2.31
23,0.243262,0.326980,0.545640,0.402630,0.396813,0.293854,2.28
24,0.231566,0.439323,0.566543,0.172790,0.417740,0.111406,2.27
25,0.234407,0.282554,0.560604,0.512705,0.414346,0.370316,2.26
26,0.229486,0.404480,0.571604,0.231175,0.419849,0.155901,2.27
27,0.209004,0.303632,0.610430,0.458944,0.455491,0.321281,2.32
28,0.214784,0.265443,0.597239,0.507668,0.445343,0.368890,2.29
29,0.224214,0.274749,0.579269,0.488957,0.429142,0.358291,2.32
30,0.222637,0.288115,0.584176,0.462384,0.436020,0.335450,2.29
31,0.216969,0.314117,0.595207,0.407357,0.440464,0.289749,2.32
32,0.219043,0.280979,0.590818,0.472676,0.441743,0.341462,2.32
33,0.223973,0.316470,0.582218,0.402727,0.435926,0.284926,2.30
34,0.216678,0.273488,0.596117,0.491115,0.440850,0.359243,2.32
