epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou
1,0.975924,0.976306,0.038210,0.044496,0.019822,0.024433
2,0.946849,0.930553,0.120815,0.283216,0.068282,0.192794
3,0.834488,0.907082,0.286113,0.103119,0.181553,0.065414
4,0.723373,0.770164,0.333754,0.227311,0.221038,0.154050
5,0.658531,0.685712,0.374659,0.315996,0.253156,0.219403
6,0.675773,0.733830,0.343398,0.272793,0.229403,0.180919
7,0.580082,0.760977,0.441708,0.239682,0.306380,0.165868
8,0.549301,0.639590,0.469745,0.363434,0.333715,0.257864
9,0.530876,0.641839,0.485468,0.359788,0.344625,0.256597
10,0.530684,0.785350,0.484783,0.210557,0.342788,0.137743
11,0.487746,0.823233,0.527939,0.172840,0.377074,0.114873
12,0.500329,0.656848,0.511630,0.345602,0.368304,0.244090
13,0.506465,0.635955,0.508563,0.361607,0.365669,0.259398
14,0.498497,0.576709,0.513008,0.434646,0.369177,0.312056
15,0.486153,0.616607,0.525427,0.383925,0.382468,0.274985
16,0.461930,0.674593,0.547447,0.320387,0.404381,0.229680
17,0.481297,0.579199,0.527101,0.432821,0.382539,0.313481
18,0.444045,0.543028,0.565517,0.473245,0.417132,0.342306
19,0.464695,0.576723,0.544639,0.433803,0.401808,0.309052
20,0.467855,0.569313,0.541852,0.434829,0.391919,0.314346
21,0.445212,0.587947,0.564484,0.422875,0.413708,0.299217
22,0.435795,0.882947,0.572081,0.114696,0.422911,0.075193
23,0.438733,0.691345,0.568583,0.306652,0.420601,0.218728
24,0.427492,0.632243,0.579848,0.367659,0.428153,0.265090
25,0.393489,0.522547,0.615375,0.479845,0.458719,0.351911
26,0.408100,0.620007,0.599898,0.381399,0.450106,0.269653
27,0.425440,0.970462,0.583942,0.028902,0.433254,0.017635
28,0.475689,0.649370,0.533117,0.350352,0.388069,0.250464
29,0.429865,0.531709,0.577733,0.467723,0.432189,0.343444
30,0.410412,0.591708,0.596174,0.406329,0.447892,0.295412
31,0.394075,0.555856,0.613153,0.444457,0.464467,0.326878
32,0.410860,0.614798,0.596575,0.381844,0.445416,0.272346
33,0.416667,0.965110,0.589702,0.035061,0.441863,0.018451
34,0.426308,0.535442,0.581406,0.464480,0.430179,0.339147
35,0.407916,0.516213,0.599635,0.498781,0.444922,0.368304
36,0.421639,0.615718,0.583830,0.385861,0.434589,0.278823
37,0.416527,0.577429,0.588201,0.427179,0.444243,0.308798
38,0.404445,0.557535,0.602004,0.449233,0.454602,0.326886
39,0.382178,0.678384,0.624399,0.324625,0.470191,0.230875
40,0.396364,0.480763,0.609341,0.525851,0.456717,0.386411
41,0.368106,0.548704,0.638350,0.463630,0.485379,0.342859
42,0.369583,0.552707,0.637488,0.459833,0.488698,0.337993
43,0.377319,0.558746,0.629424,0.451577,0.479831,0.326453
44,0.382557,0.620062,0.622954,0.385579,0.473463,0.278215
45,0.371499,0.694069,0.634794,0.304921,0.483382,0.216122
46,0.405208,0.614252,0.599867,0.383206,0.451482,0.277445
47,0.374958,0.493655,0.632946,0.507039,0.481301,0.376072
48,0.346444,0.566969,0.658944,0.431776,0.507315,0.313890
49,0.358093,0.479530,0.647879,0.520974,0.499798,0.388417
50,0.361190,0.546164,0.643759,0.454273,0.494400,0.332948
51,0.368388,0.666608,0.637603,0.331836,0.485709,0.237543
52,0.361633,0.617449,0.643650,0.380909,0.491498,0.273427
53,0.329737,0.530666,0.676110,0.467711,0.525775,0.342272
54,0.344067,0.457883,0.661563,0.543957,0.508189,0.405536
55,0.328593,0.468682,0.675592,0.534928,0.525665,0.395372
56,0.343795,0.514456,0.661987,0.485789,0.513897,0.357647
57,0.350140,0.547365,0.654207,0.451575,0.502599,0.331749
58,0.331565,0.494764,0.673524,0.507130,0.524048,0.374387
59,0.345123,0.527019,0.660592,0.473430,0.510421,0.350469
60,0.325517,0.523308,0.680164,0.476610,0.529652,0.352339
61,0.332357,0.502618,0.674082,0.498939,0.525364,0.367172
62,0.337127,0.563738,0.667449,0.434570,0.520627,0.316680
63,0.326627,0.447256,0.679367,0.554391,0.531238,0.418712
64,0.329983,0.625800,0.675685,0.372315,0.530993,0.265162
65,0.312786,0.551794,0.693078,0.446176,0.543218,0.328561
66,0.317762,0.543156,0.688263,0.455989,0.540130,0.334847
67,0.319171,0.604785,0.686979,0.393337,0.537096,0.278714
68,0.312876,0.542493,0.692526,0.456220,0.545133,0.333799
69,0.308739,0.494144,0.696722,0.506571,0.550063,0.374234
70,0.318100,0.465582,0.686602,0.535927,0.538433,0.401887
71,0.318780,0.589367,0.686085,0.408696,0.539400,0.292971
72,0.304742,0.587687,0.700649,0.410522,0.552222,0.296551
73,0.310604,0.504528,0.694649,0.495207,0.544830,0.367846
74,0.300994,0.510139,0.704060,0.489271,0.555400,0.360660
75,0.298772,0.709997,0.707015,0.286930,0.562933,0.196086
76,0.309920,0.488479,0.695474,0.511348,0.548499,0.380270
77,0.305573,0.504561,0.699234,0.496791,0.549775,0.367686
78,0.309406,0.650525,0.695601,0.347958,0.549100,0.245654
