episode epsilon
1.000000000000000000e+00 1.900000000000000022e-01
2.000000000000000000e+00 1.804999999999999938e-01
3.000000000000000000e+00 1.714749999999999885e-01
4.000000000000000000e+00 1.629012499999999697e-01
5.000000000000000000e+00 1.547561874999999754e-01
6.000000000000000000e+00 1.470183781249999599e-01
7.000000000000000000e+00 1.396674592187499564e-01
8.000000000000000000e+00 1.326840862578124447e-01
9.000000000000000000e+00 1.260498819449218100e-01
1.000000000000000000e+01 1.197473878476757181e-01
1.100000000000000000e+01 1.137600184552919336e-01
1.200000000000000000e+01 1.080720175325273341e-01
1.300000000000000000e+01 1.026684166559009570e-01
1.400000000000000000e+01 9.753499582310590221e-02
1.500000000000000000e+01 9.265824603195060849e-02
1.600000000000000000e+01 8.802533373035308084e-02
1.700000000000000000e+01 8.362406704383541778e-02
1.800000000000000000e+01 7.944286369164364758e-02
1.900000000000000000e+01 7.547072050706146729e-02
2.000000000000000000e+01 7.169718448170839253e-02
2.100000000000000000e+01 6.811232525762296597e-02
2.200000000000000000e+01 6.470670899474181836e-02
2.300000000000000000e+01 6.147137354500472467e-02
2.400000000000000000e+01 5.839780486775448393e-02
2.500000000000000000e+01 5.547791462436675591e-02
2.600000000000000000e+01 5.270401889314841465e-02
2.700000000000000000e+01 5.006881794849098871e-02
2.800000000000000000e+01 4.756537705106643477e-02
2.900000000000000000e+01 4.518710819851311233e-02
3.000000000000000000e+01 4.292775278858745186e-02
3.100000000000000000e+01 4.078136514915807476e-02
3.200000000000000000e+01 3.874229689170016755e-02
3.300000000000000000e+01 3.680518204711515778e-02
3.400000000000000000e+01 3.496492294475939816e-02
3.500000000000000000e+01 3.321667679752142444e-02
3.600000000000000000e+01 3.155584295764535252e-02
3.700000000000000000e+01 2.997805080976308212e-02
3.800000000000000000e+01 2.847914826927492801e-02
3.900000000000000000e+01 2.705519085581117866e-02
4.000000000000000000e+01 2.570243131302061765e-02
4.100000000000000000e+01 2.441730974736958451e-02
4.200000000000000000e+01 2.319644426000110407e-02
4.300000000000000000e+01 2.203662204700104765e-02
4.400000000000000000e+01 2.093479094465099458e-02
4.500000000000000000e+01 1.988805139741844225e-02
4.600000000000000000e+01 1.889364882754751909e-02
4.700000000000000000e+01 1.794896638617014123e-02
4.800000000000000000e+01 1.705151806686163243e-02
4.900000000000000000e+01 1.619894216351855029e-02
5.000000000000000000e+01 1.538899505534262191e-02
5.100000000000000000e+01 1.461954530257549012e-02
