episode coverage
1.000000000000000000e+00 3.496332518337408146e+01
2.000000000000000000e+00 4.669926650366748078e+01
3.000000000000000000e+00 5.501222493887530618e+01
4.000000000000000000e+00 5.639771801140994967e+01
5.000000000000000000e+00 5.647921760391197665e+01
6.000000000000000000e+00 5.656071719641402495e+01
7.000000000000000000e+00 5.656071719641402495e+01
8.000000000000000000e+00 6.511817440912794552e+01
9.000000000000000000e+00 6.568867155664221968e+01
1.000000000000000000e+01 6.682966585167073958e+01
1.100000000000000000e+01 6.682966585167073958e+01
1.200000000000000000e+01 6.682966585167073958e+01
1.300000000000000000e+01 9.022004889975549702e+01
1.400000000000000000e+01 9.022004889975549702e+01
1.500000000000000000e+01 9.022004889975549702e+01
1.600000000000000000e+01 9.022004889975549702e+01
1.700000000000000000e+01 9.022004889975549702e+01
1.800000000000000000e+01 9.046454767726160640e+01
1.900000000000000000e+01 9.046454767726160640e+01
2.000000000000000000e+01 9.046454767726160640e+01
2.100000000000000000e+01 9.046454767726160640e+01
2.200000000000000000e+01 9.046454767726160640e+01
2.300000000000000000e+01 9.046454767726160640e+01
2.400000000000000000e+01 9.046454767726160640e+01
2.500000000000000000e+01 9.046454767726160640e+01
2.600000000000000000e+01 9.046454767726160640e+01
2.700000000000000000e+01 9.046454767726160640e+01
2.800000000000000000e+01 9.429502852485737208e+01
2.900000000000000000e+01 9.502852485737571442e+01
3.000000000000000000e+01 9.502852485737571442e+01
3.100000000000000000e+01 9.502852485737571442e+01
3.200000000000000000e+01 9.502852485737571442e+01
3.300000000000000000e+01 9.502852485737571442e+01
3.400000000000000000e+01 9.502852485737571442e+01
3.500000000000000000e+01 9.502852485737571442e+01
3.600000000000000000e+01 9.502852485737571442e+01
3.700000000000000000e+01 9.502852485737571442e+01
3.800000000000000000e+01 9.502852485737571442e+01
3.900000000000000000e+01 9.502852485737571442e+01
4.000000000000000000e+01 9.502852485737571442e+01
4.100000000000000000e+01 9.502852485737571442e+01
4.200000000000000000e+01 9.502852485737571442e+01
4.300000000000000000e+01 9.502852485737571442e+01
4.400000000000000000e+01 9.502852485737571442e+01
4.500000000000000000e+01 9.502852485737571442e+01
4.600000000000000000e+01 9.502852485737571442e+01
4.700000000000000000e+01 9.502852485737571442e+01
4.800000000000000000e+01 9.502852485737571442e+01
4.900000000000000000e+01 9.502852485737571442e+01
5.000000000000000000e+01 9.502852485737571442e+01
5.100000000000000000e+01 9.502852485737571442e+01
